0|leadership
1|physically fit
2|motivator
3|army instructor certified
4|demonstrate and train a high level of explosive safety
5|identify explosive hazards
6|provide and coordinate site security
7|identify mechanical and electrical components
8|8 hour hazwoper certified
9|customer service
10|knowledge of windows operating systems
11|learn and preform a high level of excellence on forms and documents
12|supervise and train subordinates
13|management
14|property management
15|wheel mechanic
16|heavy equipment operator
17|public speaking
18|sexual harassment
19|assault response and prevention (sharp) certified
20|proficient in microsoft office 2010
21|experience with peachtree
22|quickbooks software
23|payroll
24|bookkeeping certification
25|roofing
26|cabinetry
27|siding
28|remodeling
29|rough framing
30|teamwork
31|adapt to change
32|military experience
33|program management
34|operational planning
35|instrument rated pilot
36|instructor pilot
37|sports coaching
38|supervisor
39|customer and personal service
40|japanese
41|judgment and decision making
42|conference speaking
43|program coordination
44|system monitoring
45|computer proficiency
46|production and processing
47|clerical skills
48|defense
49|databases
50|team leadership
51|problem solving
52|adaptability
53|mig  weilder 3 years
54|plumber 2 years
55|outstanding interpersonal skills
56|very computer proficient
57|adaptable in any setting
58|self-motivated
59|operations management
60|strong investigatory and problem solving skills
61|effective team leader
62|exceptional time management skills
63|attention to detail
64|self discipline
65|critical thinking
66|knowledge of the criminal justice system
67|crane operator
68|carpenter
69|truck driver
70|cargo specialist
71|logistics
72|emergency management
73|bilingual - spanish
74|ability to work with computers and pos
75|ability to work with photo editing software
76|ability to work with high definition cameras
77|writing
78|typing
79|some aircraft engine maintenance
80|65wpm typing
81|quickbooks
82|filing
83|organizing
84|microsoft word
85|microsoft excel
86|tech support
87|career oriented
88|contraband & weapons searches
89|crowd and riot control
90|inmate processing
91|food prep and food preparation site inspections
92|menu planning
93|short order & fry cook
94|proficient in microsoft office suite (word
95|excel
96|and outlook)
97|experienced in filing
98|faxing
99|multi-line phone
100|inventory
101|10-key
102|type 40+ wpm
103|excellent organization
104|and customer service skills
105|clinical and administrative leadership
106|army medical readiness systems applications
107|able to multi-task in fast-paced environments
108|organization scheduling
109|coast guard
110|maritime operations
111|homeland security
112|marine safety
113|inspection
114|military
115|maritime
116|incident management
117|marine insurance
118|government
119|marine operations
120|training
121|marine industry
122|international shipping
123|marine survey
124|environmental compliance
125|ships
126|marine investigations
127|maritime domain awareness
128|disaster response
129|hazardous materials
130|outlook
131|ubuntu
132|offshore drilling
133|boat
134|maritime safety
135|navy
136|basic level medical trama skills
137|communication skills
138|listening and understanding what people say
139|emergency managment skills
140|high level of self control
141|professional level of pride and quality
142|dexterity
143|concern for others
144|mba; staff training
145|program
146|project management; supervisor and training
147|strategic planning; sound judgment
148|complex problem resolution; calm under pressure
149|change management; operations management
150|policy
151|program development; results-oriented
152|systems administrator
153|supervision
154|dispatching
155|office administration
156|microsoft office
157|progressive discipline
158|military logistics
159|information security awareness
160|force protection
161|information assurance
162|defense travel system
163|powerpoint
164|facilities management
165|air force
166|sharepoint
167|security clearance
168|military operations
169|army
170|tactics
171|counterterrorism
172|top secret
173|dod
174|command
175|national security
176|team building
177|labor relations
178|appraisals
179|windows professional
180|mortgage collections
181|lpn
182|business in management
183|blueprint reading
184|welding
185|assembly
186|riveting
187|swaging
188|chief architect and key creator computer program
189|cpr
190|soldering
191|experience in arc welding and gas welding
192|4 years experience operating heavy equipment
193|4 years experience in verticle construction  and plumbing
194|analyst
195|security
196|automated data system specialist
197|six sigma
198|hazid
199|pha
200|psm
201|creating logos
202|bus wraps
203|brochures
204|magazine spreads
205|etc. using adobe cc programs
206|microsoft office and other various computer skills
207|excellent customer service skills
208|data entry
209|operational
210|auditing
211|counterinsurgency
212|intelligence analysis
213|afghanistan
214|interagency coordination
215|combat
216|organizational leadership
217|intelligence
218|weapons
219|military training
220|technical publications
221|performance under pressure
222|cultural and global competence
223|law enforcement
224|classified information and materials security
225|electronic data security
226|message traffic analysis
227|proofreading
228|editing
229|surveillance techniques
230|healthcare management
231|direct patient care
232|clinical data management
233|communication
234|team management
235|leadership development
236|medical terminology
237|human anatomy
238|medical coding
239|typing (wpm 55-60)
240|data analysis
241|project management
242|health education
243|report writing
244|speech writing
245|aircraft maintenance
246|quality assurance
247|command & control
248|analysis
249|event planning
250|wiring diagrams
251|production oriented
252|standards compliance
253|highly reliable
254|dependable
255|accurate data entry
256|work standardization
257|public relations
258|customer relations
259|employee evaluation
260|marketing
261|sales management
262|writer
263|editor
264|persistence
265|flexable
266|curriculum management
267|instructional system design
268|training management
269|foreign military sales
270|international relations
271|international training
272|air traffic control
273|airport management
274|registrar
275|fluent in spanish
276|excellent communacation skills
277|type and excellent on computers
278|work great with others
279|mostly commercial electric
280|retro
281|light motion sensor installer and more
282|punctual
283|reliable
284|work well with others
285|time management
286|machine operator
287|accelerated learning
288|versitile in a multitude of work environments as well as shifts
289|active top secret security clearance
290|active listening- giving full attention to what other people are saying
291|taking
292|the time to understand the points being made.
293|judgemnt and decision making-considering the relative costs and benefits of potential
294|actions to choose the most appropriate one
295|writing-communcating effectively in writing as appropriate for the needs of the
296|audience.
297|critical thinking-using logic and reasoning to identify the strengths and weaknesses
298|of altermative solutions
299|conclusions or approaches to problems
300|coordination-adjusting actions in relation to others' actions
301|monitoring-monitoring
302|assessing performance of yourself
303|other individuals
304|or organizations
305|to make improvements or take corrective action
306|goal oriented
307|multi-tasking
308|critical thinker
309|excellent communication skills
310|customer service oriented
311|organized
312|fast
313|initiative
314|good communication skills
315|leader
316|team player
317|fast learner
318|organization skills
319|logistics management
320|analytical reasoning
321|active dod secret clearance
322|adept problem-solver
323|general office skills
324|type 40 wpm
325|acclimated to stress
326|problem solver
327|creative
328|honest
329|deffibrilation certified
330|combat life saver certified
331|recruiting
332|works well in team enviornment
333|social media
334|discplined
335|risk management
336|decision making
337|patience
338|coaching and mentoring
339|human resources
340|microsoft office specialist (mos) certified in microsoft excel 2013
341|proficient in entire microsoft office suite
342|high degree of prioritization and multitasking skills
343|knowledge in military human resources databases such as emilpo
344|sidpers
345|rapids
346|and deers
347|strategic planning
348|administration
349|budgetary forecasting
350|requirements analysis
351|stakeholder management
352|readiness assessment
353|process compliance tracking
354|change management
355|policy forumlation
356|talent management
357|life sciences equipment investigator
358|standard base supply system
359|core automated maintenance system
360|integrated maintenance database system
361|government purchase card training
362|control
363|classroom instructor
364|life support instructor
365|operations
366|detail-oriented
367|complex planning
368|weapons handling
369|accountable
370|cold calling
371|employee relations
372|employee training
373|hiring
374|customer retention
375|new business development
376|sales process
377|supervisory
378|managerial
379|organization
380|process improvement
381|structure
382|microsoft skill
383|firefighter
384|salesperson
385|cashier -provided excellent customer serviced
386|answer questions and
387|resolved any issues
388|conflicts that arisen. -operate cash register machine accepting:
389|cash
390|credit
391|debit
392|personal checks and coupons. -arranged rack
393|shelves and
394|displays:  newly early  merchandize. -created and distributed employers schedule
395|weekly.
396|sales
397|retail
398|food preperation
399|cooking
400|construction
401|bilingual chinese
402|packaging
403|labeling
404|supervisory and management
405|united states army veteran
406|responsible
407|master training specialist
408|training team coordinator
409|safety specialist
410|equal opportunity advisor
411|department leading chief
412|pacu
413|sicu
414|top secret security clearance
415|secret security clearance
416|adobe cs 6
417|squarespace
418|mac os
419|network and technical troubleshooting
420|pre-press
421|print production
422|binding
423|lamination
424|gerber cutting system
425|matte cutting and framing
426|desktop publishing
427|digital illustration
428|logo design
429|corporate identity
430|photography
431|photo correction
432|restoration
433|image manipulation
434|fine art
435|sales & marketing
436|product innovation
437|close attention to detail
438|supply chain management
439|transportation and distribution management
440|cisco certified entry networking technician (ccent)
441|cisco ios  knowledgeable of cisco ios 15.3s router and switch.
442|ospf configuration and troubleshooting  substantial comprehension of ospf protocol
443|configuration
444|and troubleshooting.
445|subnetting  highly proficient in the use of subnetting and ip addressing information
446|to perform network monitoring
447|troubleshooting
448|and problem solving.
449|virtual local area network (vlan) and vlan trunking able to create
450|configure
451|and administrate vlans within networks.
452|tcp
453|udp services  strong understanding of tcp and udp structure
454|services
455|error
456|recovery
457|flow control
458|windowing
459|and data sequencing.
460|switch logic  knowledgeable of switching logic to include mac and ip addressing.
461|dns  solid understanding of dns.
462|stp  strong understanding of stp
463|first hop redundant protocols  proficient in the setup and use of hsrp
464|vrrp
465|and
466|glbp.
467|ssh
468|telnet
469|teaching
470|research & analysis
471|class b cdl license
472|inspector iii (dot 737.367-010)
473|ordnace articer (dot 632.261-018)
474|weapons safety manager 375 coded
475|experience in nuclear related duties (nei)
476|senior leadership military studies diploma
477|pc tech
478|microsoft powerpoint
479|meticulous
480|and motivated.
481|works well in fast-paced environment
482|open-minded
483|strong willingness to learn
484|and seeks increased responsibility.
485|proven successful in learning and comprehending new methods and systems.
486|strong work ethic developed during my navy service.
487|analytical
488|research
489|computer
490|technical literacy
491|communications skills (listening
492|verbal
493|written)
494|flexibility
495|managing multiple priorities
496|interpersonal abilities
497|planning
498|multicultural sensitivity
499|awareness
500|dependability
501|reliability
502|responsibility
503|positive attitude
504|motivation
505|energy
506|passion
507|pacom experience
508|military acquisition
509|team leader
510|briefing senior officials
511|project scheduling
512|microsoft office suite
